movie_ID,user_ID,total,story,role,show,image,music
773,1,5,5,4,5,5,5
788,1,5,3,5,5,5,5
793,1,4,5,5,5,5,5
797,1,3,3,5,4,5,3
820,1,5,5,5,3,5,3
821,1,2,2,3,2,2,3
823,1,3,3,3,3,3,3
825,1,3,2,4,3,2,3
826,1,3,4,5,3,4,5
827,1,4,3,4,3,3,3
845,1,2,2,3,3,2,3
875,1,2,2,2,1,1,3
877,1,4,1,4,5,5,5
885,1,3,3,5,3,3,3
896,1,3,2,3,3,3,3
921,1,3,3,3,2,5,2
952,1,4,4,5,4,4,3
966,1,3,3,3,3,3,3
970,1,3,1,4,5,5,5
980,1,5,3,5,5,5,4
981,1,4,4,3,3,3,3
1005,1,5,5,4,5,4,3
1015,1,1,1,2,1,1,1
1039,1,3,3,3,3,3,3
57,2,3,4,5,5,3,3
139,2,3,4,3,3,3,3
162,2,4,5,4,4,3,3
174,2,5,5,3,4,4,3
189,2,4,5,5,4,4,4
191,2,5,5,5,4,5,4
194,2,4,4,4,4,4,4
198,2,4,3,3,3,3,3
199,2,4,5,4,4,4,5
205,2,4,4,5,4,3,5
206,2,4,5,3,3,4,3
229,2,2,2,2,2,2,2
273,2,3,4,3,4,3,3
305,2,4,4,4,4,4,3
306,2,4,4,4,5,5,5
340,2,4,4,4,5,5,2
350,2,3,3,4,3,3,3
357,2,5,4,3,4,4,3
358,2,4,4,3,3,3,3
363,2,3,3,3,3,3,5
370,2,3,4,5,3,3,2
395,2,3,3,2,4,4,2
398,2,4,5,3,3,4,2
404,2,3,3,4,2,2,3
497,2,4,3,5,4,3,2
504,2,3,4,4,3,3,3
512,2,4,4,5,4,4,3
550,2,5,5,5,5,4,4
578,2,5,5,5,5,4,3
586,2,4,4,3,4,3,3
587,2,3,3,4,3,4,3
687,2,4,4,3,4,4,3
691,2,2,2,3,2,2,2
729,2,4,5,5,3,3,3
792,2,2,2,5,3,3,3
811,2,4,4,3,4,4,3
570,3,4,4,5,4,5,5
574,3,5,5,5,5,5,5
576,3,3,4,3,2,2,3
577,3,5,5,5,4,4,4
583,3,4,3,4,3,4,4
584,3,3,2,5,5,5,5
586,3,4,3,3,5,5,4
588,3,5,5,5,4,4,5
589,3,4,4,3,4,4,3
592,3,3,3,4,3,3,3
593,3,3,3,3,3,3,3
594,3,5,4,5,5,5,4
601,3,2,2,4,1,2,2
603,3,3,3,4,3,4,3
605,3,5,5,5,5,5,4
614,3,3,2,2,2,2,2
621,3,4,4,4,4,3,3
624,3,4,2,4,3,5,3
629,3,4,4,4,3,4,3
638,3,5,3,5,5,5,3
644,3,5,5,5,5,5,5
645,3,4,3,5,3,5,5
648,3,2,2,3,2,2,1
651,3,2,1,3,2,3,3
656,3,5,5,5,5,5,5
663,3,4,4,4,3,3,3
672,3,5,5,5,5,5,5
685,3,3,2,3,3,3,2
686,3,5,5,5,5,5,3
710,3,3,3,3,3,3,3
716,3,3,3,5,4,3,3
719,3,2,3,5,2,2,2
723,3,4,4,3,2,4,3
729,3,4,4,5,5,5,4
733,3,3,3,4,4,5,3
738,3,4,3,5,4,4,3
746,3,2,2,5,2,2,2
751,3,3,3,3,5,5,3
753,3,2,2,2,2,3,1
759,3,3,3,3,3,4,4
764,3,4,5,5,4,3,3
765,3,3,3,4,3,3,3
766,3,4,3,5,5,3,3
777,3,3,3,5,3,3,4
784,3,4,3,4,3,4,3
785,3,3,3,3,3,3,3
790,3,3,3,5,3,3,3
792,3,3,3,4,3,4,3
793,3,5,5,5,5,5,5
799,3,5,5,5,5,5,5
811,3,4,5,4,5,5,3
816,3,5,5,5,5,5,3
820,3,3,4,5,3,3,3
826,3,1,1,1,1,1,1
845,3,3,3,3,3,3,3
859,3,2,1,3,1,2,1
